Class,Key,Value
Certificates,certificate,0.0
Form,feedback,0.0
Form,questionform,0.0
Gallery,gallery,2.49
Hotel_Policies,privacypolicy,0.0
Hotel_Policies,cancellationpolicy,0.0
Hotel_Policies,cookiepolicy,0.0
Hotel_Policies,hotelpolicy,0.0
Map,map,2.24
Review,review,0.0
Social_Media,facebook,2.49
Social_Media,instagram,2.49
Social_Media,twitter,2.49
Special_Offers,specialoffer,0.0
Subscription,journal,0.0
Subscription,newsletter,0.0
User_Experience,chatbot,0.0
User_Experience,virtualtour,0.0
User_Interface,slider,1.99
User_Interface,searchbar,0.0
Currency,cad,0.0
Currency,eur,0.0
Currency,gbp,0.0
Currency,tl,0.0
Currency,usd,0.0
About,location,2.49
About,aboutus,0.0
About,about,0
Contact,whatsapp,2.74
Contact,phone,2.49
Contact,mail,2.49
Language,italiano,0.0
Language,türkçe,2.49
Language,english,2.49
